3,9.99,9.86
6,9.94,9.72
9,9.81,9.40
12,9.65,8.95
15,9.48,8.43
18,9.27,7.81
21,9.06,7.15
24,8.85,6.45
27,8.65,5.69
30,8.46,4.92
33,8.25,4.11
36,8.06,3.28
39,7.83,2.42
42,7.61,1.54
45,7.39,0.63
