28,4.8
27.5,5
27,4.8
26.5,4.2
26,3.6
25.5,2.6
25,5.8
24.5,4.0
24,8.8
23.5,6.1
23,4.7
22.5,4.2
22,4.0
21.5,3.8
21,3.5
20.5,3.2
20,8.8
19.5,8
19,7.8
18.5,8
18,8.2
17.5,8.6
17,8.8
16.5,8.8
16,8.6
15.5,8.2
15,7.8
14.5,7.5
14,7.3
13.5,7.2
13,7.1
12.5,7.0
12,7.0
11.5,7.0
11,7.1
28.5,4.6
29,3.8
29.5,2.8
30,5.9
30.5,3.7
31,7.4
31.5,5
32,4.3
32.5,4.8
33,5.6
33.5,6.2
34,6.2
34.5,5.6
35,4.9
35.5,4.1
36,3.6
36.5,3.2
37,3.2
37.5,3.3
38,3.4
38.5,3.4
