72	40.95	43.29	43.87	40.65	45.43	45.04	44.69	31.68	71.0000
73	40.93	43.10	43.64	40.61	45.31	44.85	44.51	31.73	72.0000
74	40.90	42.93	43.43	40.57	45.19	44.67	44.33	31.78	73.0000
75	40.87	42.76	43.23	40.53	45.07	44.51	44.16	31.83	74.0000
76	40.84	42.61	43.03	40.48	44.95	44.33	43.98	31.88	75.0000
77	40.81	42.45	42.84	40.43	44.83	44.18	43.81	31.92	76.0000
78	40.78	42.30	42.67	40.39	44.72	44.03	43.64	31.97	77.0000
79	40.75	42.16	42.50	40.34	44.60	43.88	43.47	32.01	78.0000
80	40.71	42.03	42.33	40.29	44.48	43.73	43.31	32.06	79.0000
81	40.67	41.90	42.18	40.24	44.36	43.60	43.14	32.11	80.0000
82	40.64	41.78	42.03	40.19	44.25	43.47	42.98	32.16	81.0000
83	40.61	41.72	41.95	40.14	44.13	43.51	42.82	32.20	82.0000
84	40.57	41.77	42.04	40.08	44.02	43.83	42.67	32.24	83.0000
85	40.53	41.97	42.30	40.03	43.94	44.35	42.55	32.28	84.0000
86	40.50	42.27	42.69	39.98	43.89	45.00	42.44	32.32	85.0000
87	40.47	42.66	43.16	39.94	43.89	45.72	42.38	32.36	86.0000
88	40.46	43.12	43.69	39.92	43.95	46.47	42.36	32.40	87.0000
89	40.45	43.61	44.28	39.89	44.05	47.24	42.38	32.44	88.0000
90	40.46	44.14	44.88	39.90	44.18	48.00	42.44	32.48	89.0000
91	40.49	44.68	45.50	39.92	44.35	48.73	42.54	32.52	90.0000
92	40.53	45.23	46.12	39.96	44.56	49.44	42.68	32.55	91.0000
93	40.59	45.79	46.74	40.02	44.78	50.13	42.83	32.58	92.0000
94	40.67	46.34	47.36	40.09	45.02	50.79	43.02	32.62	93.0000
95	40.76	46.88	47.97	40.18	45.28	51.42	43.24	32.66	94.0000
96	40.87	47.42	48.56	40.29	45.56	52.03	43.47	32.68	95.0000
97	41.00	47.95	49.14	40.41	45.85	52.63	43.72	32.72	96.0000
98	41.13	48.46	49.71	40.54	46.14	53.18	43.99	32.75	97.0000
99	41.27	48.95	50.25	40.68	46.45	53.73	44.27	32.79	98.0000
100	41.43	49.43	50.78	40.84	46.75	54.24	44.56	32.82	99.0000
101	41.60	49.91	51.30	41.01	47.06	54.74	44.86	32.85	100.0000
102	41.77	50.36	51.80	41.17	47.38	55.22	45.17	32.88	101.0000
103	41.95	50.80	52.28	41.36	47.69	55.68	45.48	32.91	102.0000
104	42.14	51.23	52.74	41.54	48.01	56.12	45.80	32.94	103.0000
105	42.33	51.65	53.19	41.73	48.34	56.56	46.12	32.97	104.0000
106	42.53	52.05	53.63	41.93	48.65	56.97	46.45	33.00	105.0000
107	42.73	52.44	54.05	42.13	48.98	57.37	46.76	33.03	106.0000
108	42.93	52.82	54.46	42.33	49.30	57.76	47.09	33.06	107.0000
109	43.14	53.18	54.85	42.53	49.62	58.13	47.42	33.09	108.0000
110	43.35	53.54	55.23	42.74	49.93	58.50	47.73	33.12	109.0000
111	43.56	53.89	55.59	42.95	50.25	58.84	48.05	33.15	110.0000
112	43.77	54.22	55.94	43.16	50.56	59.18	48.37	33.19	111.0000
113	43.99	54.54	56.28	43.37	50.87	59.51	48.68	33.21	112.0000
114	44.20	54.85	56.61	43.57	51.19	59.83	48.99	33.24	113.0000
115	44.42	55.16	56.93	43.79	51.50	60.15	49.30	33.28	114.0000
116	44.63	55.45	57.24	43.99	51.80	60.45	49.61	33.31	115.0000
117	44.85	55.74	57.53	44.21	52.10	60.74	49.91	33.34	116.0000
118	45.06	56.02	57.83	44.42	52.40	61.03	50.20	33.37	117.0000
119	45.27	56.28	58.10	44.63	52.70	61.31	50.49	33.41	118.0000
120	45.48	56.54	58.37	44.83	52.99	61.58	50.78	33.44	119.0000
121	45.70	56.80	58.63	45.04	53.27	61.85	51.06	33.47	120.0000
122	45.90	57.04	58.88	45.24	53.56	62.10	51.34	33.51	121.0000
123	46.12	57.24	59.07	45.45	53.84	62.21	51.61	33.55	122.0000
124	46.32	57.31	59.09	45.66	54.12	62.09	51.87	33.58	123.0000
125	46.53	57.27	58.97	45.86	54.37	61.77	52.13	33.62	124.0000
126	46.73	57.13	58.72	46.06	54.58	61.33	52.35	33.66	125.0000
127	46.93	56.90	58.39	46.25	54.76	60.82	52.53	33.70	126.0000
128	47.12	56.61	58.00	46.42	54.89	60.28	52.67	33.74	127.0000
129	47.30	56.28	57.56	46.58	54.97	59.72	52.77	33.79	128.0000
130	47.46	55.92	57.11	46.72	55.02	59.17	52.83	33.83	129.0000
131	47.60	55.54	56.64	46.85	55.03	58.61	52.86	33.87	130.0000
132	47.72	55.15	56.17	46.96	55.01	58.09	52.85	33.91	131.0000
133	47.83	54.76	55.69	47.04	54.97	57.57	52.81	33.96	132.0000
134	47.92	54.37	55.22	47.11	54.91	57.07	52.74	34.01	133.0000
135	47.99	53.98	54.76	47.17	54.82	56.59	52.65	34.05	134.0000
136	48.05	53.61	54.30	47.21	54.73	56.13	52.54	34.09	135.0000
137	48.09	53.23	53.86	47.23	54.62	55.69	52.41	34.14	136.0000
138	48.13	52.88	53.43	47.24	54.50	55.28	52.26	34.19	137.0000
139	48.15	52.52	53.01	47.24	54.37	54.87	52.10	34.24	138.0000
140	48.16	52.18	52.60	47.23	54.23	54.50	51.93	34.28	139.0000
141	48.15	51.85	52.21	47.21	54.08	54.13	51.75	34.33	140.0000
142	48.14	51.54	51.83	47.18	53.93	53.78	51.56	34.38	141.0000
143	48.13	51.22	51.47	47.14	53.78	53.45	51.36	34.43	142.0000
144	48.11	50.93	51.11	47.10	53.62	53.13	51.16	34.48	143.0000
145	48.07	50.65	50.78	47.05	53.46	52.82	50.95	34.52	144.0000
146	48.04	50.38	50.45	46.99	53.30	52.53	50.74	34.57	145.0000
147	48.00	50.11	50.14	46.93	53.13	52.24	50.53	34.62	146.0000
148	47.96	49.86	49.85	46.87	52.97	51.97	50.31	34.67	147.0000
149	47.91	49.62	49.55	46.80	52.80	51.71	50.10	34.72	148.0000
150	47.86	49.38	49.28	46.73	52.63	51.46	49.88	34.77	149.0000
151	47.80	49.16	49.01	46.66	52.46	51.21	49.67	34.81	150.0000
152	47.75	48.94	48.75	46.59	52.29	50.99	49.45	34.86	151.0000
153	47.69	48.74	48.51	46.51	52.12	50.76	49.24	34.91	152.0000
154	47.64	48.54	48.28	46.43	51.95	50.54	49.03	34.95	153.0000
155	47.57	48.35	48.05	46.36	51.78	50.33	48.82	34.99	154.0000
156	47.51	48.17	47.83	46.28	51.62	50.13	48.61	35.04	155.0000
157	47.45	47.99	47.63	46.20	51.45	49.94	48.41	35.08	156.0000
158	47.38	47.83	47.43	46.11	51.28	49.74	48.21	35.13	157.0000
159	47.32	47.66	47.24	46.02	51.11	49.56	48.01	35.16	158.0000
160	47.25	47.51	47.06	45.94	50.95	49.38	47.81	35.20	159.0000
161	47.18	47.36	46.88	45.86	50.78	49.20	47.61	35.24	160.0000
162	47.12	47.21	46.71	45.79	50.62	49.04	47.43	35.27	161.0000
